transaction_id,amount,merchant_category,transaction_type,customer_age,is_fraud,transaction_date,merchant_code,transaction_address
1,3708.01,Electronics,Card Present,49,0,2022-07-29,102,"9035 Oak Ln, Lakeside, CA"
2,1093.97,Grocery,Card Present,82,0,2023-02-12,101,"9028 Sunset Ave, Lakeside, FL"
3,3491.00,Grocery,Online,61,0,2023-03-17,101,"5614 Oak St, Lakeside, NY"
4,3019.03,Online Retail,Contactless,23,0,2022-09-13,106,"6301 Oak Ln, Fairview, IL"
5,3523.15,Home Improvement,Online,23,0,2023-08-16,110,"1407 Cedar St, Lakeside, FL"
6,814.11,Pharmacy,Contactless,63,0,2023-07-01,108,"1269 Main Pl, Riverton, WA"
7,1897.90,Restaurant,ATM Withdrawal,46,0,2022-04-25,103,"3852 Maple Blvd, Lakeside, FL"
8,4565.77,Electronics,Online,58,0,2024-10-19,102,"6582 Lakeview Ave, Fairview, TX"
9,3735.32,Travel,Contactless,72,0,2024-03-28,104,"6030 Cedar Ave, Greenville, GA"
10,4305.65,Electronics,Card Present,37,0,2024-05-14,102,"9871 Oak Rd, Lakeside, GA"
11,4855.42,Entertainment,Contactless,19,0,2022-08-23,109,"8897 Elm Pl, Fairview, NY"
12,791.63,Coffee Shop,ATM Withdrawal,18,0,2023-06-24,105,"8301 Pine Ln, Springfield, FL"
13,765.04,Entertainment,Online,38,0,2024-12-22,109,"109 Main Blvd, Lakeside, CA"
14,4393.73,Electronics,Contactless,57,0,2023-05-09,102,"9395 Oak St, Hillcrest, GA"
15,642.83,Electronics,Online,78,0,2022-12-05,102,"4442 Center Ln, Lakeside, WA"
16,3565.03,Entertainment,Online,69,0,2024-02-04,109,"7277 Center Rd, Springfield, WA"
17,1691.09,Travel,Card Present,47,0,2022-01-15,104,"1263 Maple Ave, Springfield, CA"
18,2571.27,Online Retail,Card Present,53,0,2023-03-15,106,"8934 Pine Pl, Greenville, GA"
19,4037.68,Travel,ATM Withdrawal,42,0,2024-06-01,104,"5904 Sunset Rd, Lakeside, CA"
20,2013.70,Electronics,Card Present,61,0,2022-08-12,102,"4173 Cedar Ave, Greenville, GA"
21,918.26,Restaurant,ATM Withdrawal,77,0,2022-06-04,103,"7360 Center St, Springfield, CA"
22,832.39,Electronics,Online,80,0,2024-04-01,102,"1060 Pine Rd, Springfield, CO"
23,1426.96,Coffee Shop,ATM Withdrawal,80,0,2023-08-31,105,"3666 Maple Ln, Hillcrest, CA"
24,251.66,Online Retail,Card Present,79,0,2024-12-23,106,"2679 Maple Ln, Springfield, TX"
25,3376.39,Electronics,Card Present,48,0,2023-05-20,102,"9585 Main St, Greenville, NY"
26,4673.60,Gas Station,Contactless,44,0,2023-10-06,107,"4010 Elm Rd, Riverton, FL"
27,4645.16,Pharmacy,Contactless,27,1,2022-07-24,108,"1300 Center Ave, Greenville, FL"
28,4404.44,Restaurant,Contactless,49,0,2022-11-20,103,"7279 Center Pl, Fairview, CA"
29,4658.85,Entertainment,Contactless,31,0,2022-10-03,109,"4433 Oak St, Hillcrest, TX"
30,3024.54,Coffee Shop,Contactless,61,0,2023-06-25,105,"8380 Lakeview Blvd, Springfield, NY"
31,221.39,Gas Station,Contactless,60,0,2023-06-21,107,"2747 Lakeview Ln, Hillcrest, CO"
32,560.26,Entertainment,Card Present,37,0,2024-01-27,109,"9643 Center Ave, Lakeside, TX"
33,1823.89,Grocery,Contactless,23,0,2023-03-07,101,"4188 Oak Blvd, Greenville, CO"
34,4628.89,Home Improvement,Online,48,0,2022-12-29,110,"6855 Maple Ave, Hillcrest, IL"
35,1334.76,Gas Station,Online,31,0,2022-03-21,107,"7811 Cedar Ave, Lakeside, IL"
36,1115.39,Coffee Shop,Online,42,0,2023-07-25,105,"1237 Elm Blvd, Hillcrest, CO"
37,4696.25,Entertainment,Contactless,32,0,2023-06-19,109,"3025 Main Blvd, Springfield, NY"
38,1729.09,Home Improvement,ATM Withdrawal,58,0,2024-11-13,110,"1994 Sunset Ln, Riverton, FL"
39,9.45,Grocery,ATM Withdrawal,43,0,2022-05-24,101,"5509 Main Blvd, Hillcrest, NY"
40,3334.80,Coffee Shop,Contactless,59,0,2023-08-29,105,"9183 Pine Ave, Lakeside, CO"
41,2030.97,Restaurant,Contactless,18,0,2023-03-07,103,"7143 Main Ln, Hillcrest, IL"
42,2211.36,Pharmacy,ATM Withdrawal,45,0,2022-12-14,108,"1489 Elm Ln, Hillcrest, IL"
43,3364.31,Electronics,Online,46,0,2022-10-29,102,"500 Maple Ave, Lakeside, NY"
44,4430.80,Pharmacy,ATM Withdrawal,42,0,2024-02-26,108,"8199 Sunset Ave, Riverton, CA"
45,1094.99,Electronics,ATM Withdrawal,84,0,2023-05-26,102,"2088 Lakeview Ave, Lakeside, IL"
46,4153.02,Pharmacy,ATM Withdrawal,75,0,2024-08-30,108,"7473 Elm Ave, Hillcrest, FL"
47,3134.12,Entertainment,ATM Withdrawal,53,0,2023-08-09,109,"3941 Elm Blvd, Fairview, NY"
48,1157.08,Restaurant,Online,37,0,2022-05-12,103,"6897 Sunset Blvd, Greenville, GA"
49,1034.97,Gas Station,Card Present,71,0,2022-02-10,107,"9532 Sunset Rd, Springfield, IL"
50,4267.39,Coffee Shop,ATM Withdrawal,71,0,2023-03-28,105,"8099 Cedar Blvd, Lakeside, GA"
51,1681.31,Grocery,ATM Withdrawal,69,0,2024-08-15,101,"2191 Main Ln, Springfield, CO"
52,420.65,Home Improvement,Card Present,72,0,2024-08-03,110,"3077 Maple Blvd, Lakeside, IL"
53,1634.90,Travel,ATM Withdrawal,66,0,2024-05-13,104,"4233 Oak Rd, Springfield, CA"
54,3251.07,Online Retail,Online,23,0,2023-05-22,106,"3366 Maple Ln, Riverton, WA"
55,3347.62,Restaurant,ATM Withdrawal,45,0,2023-06-09,103,"6143 Pine Ln, Greenville, NY"
56,541.39,Restaurant,Contactless,21,0,2024-02-08,103,"6598 Cedar St, Greenville, WA"
57,4251.62,Electronics,Contactless,33,0,2022-03-26,102,"5788 Center Rd, Hillcrest, IL"
58,64.25,Electronics,Contactless,71,0,2022-08-05,102,"7202 Willow Pl, Lakeside, TX"
59,3669.24,Gas Station,Online,52,0,2024-09-17,107,"7716 Sunset Pl, Greenville, FL"
60,4153.82,Online Retail,Online,29,0,2024-07-12,106,"4095 Lakeview Ln, Greenville, CO"
61,2472.04,Online Retail,Card Present,59,0,2023-03-11,106,"5913 Elm Blvd, Fairview, FL"
62,2583.62,Entertainment,Card Present,42,0,2024-04-12,109,"8104 Center Ave, Hillcrest, GA"
