transaction_id,amount,customer_age,merchant_category,transaction_type,merchant_code
synthetic_1,4640.5678,76.22689,Coffee Shop,Contactless,105
synthetic_2,2324.55576,81.16528,Gas Station,ATM Withdrawal,107
synthetic_3,1056.84737,40.61873,Grocery,Card Present,101
synthetic_4,1118.92918,81.00696,Coffee Shop,Online,105
synthetic_5,2332.49038,54.95468,Coffee Shop,ATM Withdrawal,105
synthetic_6,4756.7196,60.40452,Grocery,ATM Withdrawal,101
synthetic_7,1186.754,54.20934,Grocery,Card Present,101
synthetic_8,1333.38581,22.39065,Gas Station,Online,107
synthetic_9,1421.95585,20.12174,Coffee Shop,Card Present,105
synthetic_10,724.34299,55.25461,Entertainment,Card Present,109
synthetic_11,899.29894,51.81172,Online Retail,ATM Withdrawal,106
synthetic_12,4301.08896,80.11638,Entertainment,ATM Withdrawal,109
synthetic_13,53.98159,22.18905,Pharmacy,ATM Withdrawal,108
synthetic_14,4257.30582,32.25965,Entertainment,Card Present,109
synthetic_15,2112.98703,38.64204,Grocery,ATM Withdrawal,101
synthetic_16,908.07252,76.38119,Pharmacy,Contactless,108
synthetic_17,4322.54382,22.18628,Grocery,ATM Withdrawal,101
synthetic_18,915.48834,80.94474,Coffee Shop,ATM Withdrawal,105
synthetic_19,4643.42065,52.87188,Grocery,ATM Withdrawal,101
synthetic_20,4401.17007,23.48475,Coffee Shop,Online,105
synthetic_21,651.87164,19.89686,Pharmacy,ATM Withdrawal,108
synthetic_22,307.81966,61.96262,Home Improvement,ATM Withdrawal,110
synthetic_23,1012.80707,80.2852,Pharmacy,Card Present,108
synthetic_24,4244.22307,27.33808,Grocery,Card Present,101
synthetic_25,4827.40106,37.5097,Grocery,ATM Withdrawal,101
synthetic_26,3138.02832,46.23755,Gas Station,Online,107
synthetic_27,4649.94066,41.4689,Coffee Shop,Online,105
synthetic_28,3153.62663,39.09074,Entertainment,ATM Withdrawal,109
synthetic_29,2325.12766,79.53413,Coffee Shop,Card Present,105
synthetic_30,2583.40286,63.89834,Coffee Shop,ATM Withdrawal,105
synthetic_31,4216.24958,49.37224,Online Retail,ATM Withdrawal,106
synthetic_32,193.78652,38.98247,Coffee Shop,ATM Withdrawal,105
synthetic_33,3415.34316,22.04459,Home Improvement,ATM Withdrawal,110
synthetic_34,2535.8972,24.59971,Coffee Shop,Card Present,105
synthetic_35,879.46253,76.9606,Coffee Shop,ATM Withdrawal,105
synthetic_36,4215.87119,24.06322,Grocery,Card Present,101
synthetic_37,3161.26576,18.75543,Coffee Shop,Card Present,105
synthetic_38,2287.57868,19.73313,Coffee Shop,ATM Withdrawal,105
synthetic_39,1232.2134,48.52573,Home Improvement,ATM Withdrawal,110
synthetic_40,1612.35331,30.64841,Entertainment,Contactless,109
synthetic_41,3309.74726,56.90509,Home Improvement,Online,110
synthetic_42,2213.69772,44.67706,Entertainment,ATM Withdrawal,109
synthetic_43,128.25249,40.88037,Coffee Shop,ATM Withdrawal,105
synthetic_44,2764.58413,41.40195,Grocery,Card Present,101
synthetic_45,1632.06945,79.59878,Grocery,Online,101
synthetic_46,558.56675,36.0795,Entertainment,ATM Withdrawal,109
synthetic_47,797.95225,28.73034,Grocery,Online,101
