transaction_id,amount,merchant_category,is_fraud
synthetic_1,4241.48732,Travel,0
synthetic_2,679.38591,Online Retail,0
synthetic_3,4356.02871,Coffee Shop,0
synthetic_4,3517.83561,Coffee Shop,0
synthetic_5,1523.39552,Coffee Shop,0
synthetic_6,1043.76689,Pharmacy,0
synthetic_7,4666.89534,Electronics,0
synthetic_8,2937.4212,Entertainment,1
synthetic_9,620.01277,Coffee Shop,0
synthetic_10,3528.89386,Entertainment,0
synthetic_11,4345.25309,Travel,0
synthetic_12,4420.81028,Coffee Shop,0
synthetic_13,490.01463,Entertainment,0
synthetic_14,3775.487,Electronics,0
synthetic_15,3962.9239,Restaurant,0
synthetic_16,625.54233,Online Retail,0
synthetic_17,2393.0822,Online Retail,0
synthetic_18,3597.98799,Coffee Shop,0
synthetic_19,1135.50864,Grocery,0
synthetic_20,3903.33481,Entertainment,1
synthetic_21,940.56018,Gas Station,0
synthetic_22,3003.5453,Electronics,0
synthetic_23,4221.30579,Restaurant,0
synthetic_24,2586.727,Coffee Shop,0
synthetic_25,4010.2675,Coffee Shop,0
synthetic_26,4074.39389,Coffee Shop,1
synthetic_27,2036.95529,Pharmacy,0
synthetic_28,1781.26976,Travel,0
synthetic_29,1624.98612,Entertainment,0
synthetic_30,747.51064,Coffee Shop,0
synthetic_31,1849.05065,Grocery,0
synthetic_32,520.6957,Gas Station,0
synthetic_33,3861.33123,Grocery,0
synthetic_34,2690.05417,Online Retail,0
synthetic_35,2189.49789,Electronics,0
synthetic_36,2758.14216,Home Improvement,0
synthetic_37,823.4238,Gas Station,0
synthetic_38,1318.10912,Gas Station,0
synthetic_39,3467.84043,Electronics,0
synthetic_40,4724.60509,Electronics,0
synthetic_41,3250.74776,Electronics,0
synthetic_42,605.26227,Gas Station,0
synthetic_43,2881.73431,Entertainment,0
synthetic_44,1924.59498,Restaurant,0
synthetic_45,4081.69209,Coffee Shop,0
synthetic_46,2265.64405,Restaurant,0
synthetic_47,3771.52705,Travel,0
synthetic_48,1565.93582,Online Retail,0
synthetic_49,4095.83245,Coffee Shop,0
synthetic_50,2464.20777,Gas Station,0
synthetic_51,2987.89866,Entertainment,0
synthetic_52,4270.4767,Coffee Shop,1
synthetic_53,2196.87387,Pharmacy,0
synthetic_54,948.95633,Electronics,0
synthetic_55,2780.87286,Coffee Shop,0
synthetic_56,4957.00257,Electronics,0
synthetic_57,536.99949,Coffee Shop,0
synthetic_58,3142.83447,Coffee Shop,0
synthetic_59,615.62584,Gas Station,0
synthetic_60,4987.15253,Electronics,0
synthetic_61,2352.80746,Travel,0
synthetic_62,3260.74681,Grocery,1
synthetic_63,4204.40342,Coffee Shop,0
synthetic_64,3787.95629,Pharmacy,0
synthetic_65,2111.11341,Restaurant,0
synthetic_66,2605.98631,Restaurant,0
synthetic_67,3374.27766,Coffee Shop,0
synthetic_68,4547.2411,Coffee Shop,0
synthetic_69,3287.1676,Travel,0
synthetic_70,2569.25329,Coffee Shop,0
synthetic_71,2220.46923,Online Retail,0
synthetic_72,2347.49087,Pharmacy,0
synthetic_73,4912.76248,Electronics,0
synthetic_74,1415.98625,Coffee Shop,0
synthetic_75,864.75521,Grocery,0
synthetic_76,4386.90355,Coffee Shop,0
synthetic_77,1538.42658,Pharmacy,0
synthetic_78,3662.72271,Gas Station,0
synthetic_79,1667.80431,Entertainment,0
synthetic_80,2936.59546,Entertainment,1
synthetic_81,1471.70891,Home Improvement,0
synthetic_82,1670.46479,Travel,0
synthetic_83,3874.97412,Home Improvement,0
synthetic_84,4045.15259,Coffee Shop,0
synthetic_85,1507.74086,Restaurant,0
synthetic_86,469.19932,Electronics,0
synthetic_87,2572.35415,Gas Station,0
synthetic_88,3177.90868,Coffee Shop,0
synthetic_89,1308.92226,Electronics,0
synthetic_90,3049.39858,Electronics,0
synthetic_91,3145.85674,Electronics,0
synthetic_92,4033.95784,Online Retail,0
synthetic_93,3563.54731,Coffee Shop,1
synthetic_94,2739.31172,Coffee Shop,0
synthetic_95,4456.24546,Coffee Shop,0
synthetic_96,2671.39942,Gas Station,0
synthetic_97,1050.11503,Grocery,0
synthetic_98,4861.66401,Grocery,0
synthetic_99,4629.77434,Pharmacy,0
synthetic_100,449.04247,Coffee Shop,0
synthetic_101,3697.71116,Restaurant,0
synthetic_102,508.67323,Grocery,0
synthetic_103,4606.06346,Entertainment,0
synthetic_104,4051.47139,Home Improvement,0
synthetic_105,4998.77002,Coffee Shop,0
synthetic_106,3921.63425,Restaurant,0
synthetic_107,4314.39171,Coffee Shop,0
synthetic_108,1474.94087,Electronics,0
synthetic_109,1230.2306,Home Improvement,0
synthetic_110,4478.31676,Gas Station,0
synthetic_111,2769.01235,Coffee Shop,0
synthetic_112,692.43522,Coffee Shop,0
synthetic_113,2652.8605,Pharmacy,0
synthetic_114,407.26398,Electronics,0
synthetic_115,795.80965,Restaurant,0
synthetic_116,4381.84091,Travel,0
synthetic_117,4080.84056,Entertainment,0
synthetic_118,1758.61899,Entertainment,1
synthetic_119,2668.43458,Grocery,0
synthetic_120,2534.24769,Coffee Shop,0
synthetic_121,4114.34921,Coffee Shop,1
synthetic_122,622.57946,Pharmacy,0
synthetic_123,3484.3732,Pharmacy,1
synthetic_124,1541.63275,Coffee Shop,0
synthetic_125,2254.83416,Grocery,0
synthetic_126,3266.67557,Gas Station,0
synthetic_127,2066.7202,Gas Station,0
synthetic_128,2125.76433,Pharmacy,0
synthetic_129,4884.09404,Travel,0
synthetic_130,3174.17071,Entertainment,0
synthetic_131,3322.09971,Gas Station,0
synthetic_132,3396.26442,Gas Station,0
synthetic_133,2061.24788,Coffee Shop,0
synthetic_134,3514.67491,Coffee Shop,0
synthetic_135,4008.99908,Home Improvement,0
synthetic_136,1779.26403,Restaurant,0
synthetic_137,3198.75755,Entertainment,0
synthetic_138,3783.05706,Grocery,0
synthetic_139,2730.62177,Electronics,0
synthetic_140,2795.45963,Electronics,0
synthetic_141,3170.30226,Coffee Shop,0
synthetic_142,3593.25398,Coffee Shop,0
synthetic_143,1809.35739,Coffee Shop,0
synthetic_144,2386.60966,Electronics,0
synthetic_145,4307.33076,Online Retail,0
synthetic_146,3656.0111,Online Retail,0
synthetic_147,2796.8583,Pharmacy,0
synthetic_148,3341.95849,Online Retail,0
synthetic_149,420.93172,Electronics,0
synthetic_150,3497.9676,Home Improvement,0
synthetic_151,1445.14283,Restaurant,0
